		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1						4					4					4					4					4					4					4				
2						5	4				5	4				5	4				5	4				5	4				5	4				5	4			
3						5	5	4			5	5	4			5	5	4			5	5	4			5	5	4			5	5	4			5	5	4		
4						5	5	5	5		5	5	5	5		5	5	5	5		5	5	5	5		5	5	5	5		5	5	5	5		5	5	5	5	
5																										20	20	20	20	20										
6											4					4					4					4	15	15	21	5	4					4				
7											5	4				5	4				5	4				5	4	11	10	20	5	4				5	4			
8											5	5	4			5	5	4			5	5	4			5	5	4	21	6	5	5	4			5	5	4		
9											5	5	5	5		5	5	5	5		5	5	5	5		5	5	5	5	20	5	5	5	5		5	5	5	5	
10																										17	16	22	16	21	16	16	16	16	16					
11																4					4					4	11	7	10	5	4	11	11	16	5	4				
12																5	4				5	4				5	4	22	10	10	5	4	15	16	15	5	4			
13																5	5	4			5	5	4			5	5	4	13	5	5	5	4	16	5	5	5	4		
14																5	5	5	5		5	5	5	5		5	5	5	5	21	5	5	5	5	16	5	5	5	5	
15																										17	11	22	13	21	13	12	15	12	16	11	11	12	11	11
16																					4					4	12	7	9	5	4	12	7	6	5	4	13	12	11	5
17																					5	4				5	4	22	11	10	5	4	15	7	15	5	4	12	6	10
18																					5	5	4			5	5	4	12	5	5	5	4	12	5	5	5	4	12	6
19																					5	5	5	5		5	5	5	5	21	5	5	5	5	16	5	5	5	5	12
20																										17	15	11	21	21	13	11	15	16	16	9	13	13	13	13
21																										4	10	15	10	5	4	9	11	16	5	4	7	12	5	5
22																										5	4	16	21	20	5	4	9	16	15	5	4	12	12	10
23																										5	5	4	15	6	5	5	4	16	6	5	5	4	11	5
24																										5	5	5	5	20	5	5	5	5	16	5	5	5	5	11
25																																								
26																															4					4				
27																															5	4				5	4			
28																															5	5	4			5	5	4		
29																															5	5	5	5		5	5	5	5	
