	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1										9										9					
2	?				12											10				15	10				15
3	?	?			7	7				6		5				7	5			10	7	5			10
4	?	?	?					10		10	10					10	10	9							15
5	?	?	?	?																					?
6	?	?	?	?	?					8										9					9
7	?	?	?	?	?	?				7	7					6				10	6				7
8	?	?	?	?	?	?	?									14	12			15	13	12			
9	?	?	?	?	?	?	?	?		6		6				9	8	7		10	8	8	7		
10	?	?	?	?	?	?	?	?	?																?
11	?	?	?	?	?	?	?	?	?	?										9					9
12	?	?	?	?	?	?	?	?	?	?	?					9				10	8				10
13	?	?	?	?	?	?	?	?	?	?	?	?				8	6			10	7	6			8
14	?	?	?	?	?	?	?	?	?	?	?	?	?			7	7	7		10	7	7	7		10
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?											18
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?										
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				8					
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7				9
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		6	7	6			7
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?						?
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					7
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				8
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
