	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1											10								
2	?										12	11							
3	?	?									13	12	12						
4	?	?	?								13	13	13	10					
5	?	?	?	?							13	12	11	11	8				
6	?	?	?	?	?						13	15	13	11	10	9			
7	?	?	?	?	?	?					13	12	13	11	11	12	8		
8	?	?	?	?	?	?	?				13	12	11	10	11	10	10	7	
9	?	?	?	?	?	?	?	?			12	12	13	11	10	12	10	10	7
10	?	?	?	?	?	?	?	?	?		11	11	12	11	11	11	11	11	11
11	?	?	?	?	?	?	?	?	?	?									
12	?	?	?	?	?	?	?	?	?	?	?								
13	?	?	?	?	?	?	?	?	?	?	?	?							
14	?	?	?	?	?	?	?	?	?	?	?	?	?						
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?					
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
