	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
1												11					
2	?								10							13	
3	?	?							14	9							
4	?	?	?														
5	?	?	?	?						7		7				7	
6	?	?	?	?	?				9			11	10				
7	?	?	?	?	?	?			5	6		5	7	5			
8	?	?	?	?	?	?	?										
9	?	?	?	?	?	?	?	?									
10	?	?	?	?	?	?	?	?	?								
11	?	?	?	?	?	?	?	?	?	?		8				7	
12	?	?	?	?	?	?	?	?	?	?	?						
13	?	?	?	?	?	?	?	?	?	?	?	?					
14	?	?	?	?	?	?	?	?	?	?	?	?	?			7	
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?			
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
