	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1		7		3		3		3		3		3		3		3		3		3		3		3		3		3		3		3	
2	?			9	8			6	6			6	6			6	6			6	6			6	6			6	6			6	6
3	?	?		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3
4	?	?	?					18	16	15	14					12	12	12	12					12	12	12	12					12	12
5	?	?	?	?		3		3	5	3	5	3		3		3	5	3	5	3		3		3	5	3	5	3		3		3	5
6	?	?	?	?	?			6	6	6	6	6	6			6	6	6	6	6	6			6	6	6	6	6	6			6	6
7	?	?	?	?	?	?		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3
8	?	?	?	?	?	?	?									36	33	31	30	29	28	27	26									24	24
9	?	?	?	?	?	?	?	?		3		3		3		3	9	3	8	3	8	3	9	3		3		3		3		3	9
10	?	?	?	?	?	?	?	?	?			6	6			6	6	6	6	6	6	6	10	6	6			6	6			6	6
11	?	?	?	?	?	?	?	?	?	?		3	3	3		3	3	3	3	3	3	3	3	3	3	3		3	3	3		3	3
12	?	?	?	?	?	?	?	?	?	?	?					12	12	12	12	12	12	12	12	12	12	12	12					12	12
13	?	?	?	?	?	?	?	?	?	?	?	?		3		3	5	3	4	3	4	3	4	3	4	3	5	3		3		3	5
14	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6	6	6	6	6	6	6	6	6	6	6	6	6			6	6
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	3
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?																	?	?
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3		3		3		3		3		3		3		3	17
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6			6	6			6	6			6	6
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3	3	3		3	3	3		3	3	3		3	3
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					12	12	12	12					12	12
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3		3	5	3	4	3		3		3	5
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6	6	6	6	6			6	6
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3	3	3	3	3	3	3		3	3
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?									24	24
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3		3		3		3	9
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6			6	6
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3	3	3		3	3
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					12	12
29	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3		3	5
30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6
31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		3	3
32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
34	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
35	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
36	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
