		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
1			3		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2	
2					4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4		
3					3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3	
4									6	6	6	6					6	6	6	6					6	6	6	6					6	6	6	6					6	6	6	6					6	6	6	6					6	6	6	6
5							3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4
6									4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4
7									3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3
8																	10	10	10	10	10	10	10	10									10	10	10	10	10	10	10	10									10	10	10	10	10	10	10	10				
9											3		2		2		2	8	2	8	2	8	2	8	2		3		2		2		2	8	2	8	2	8	2	8	2		3		2		2		2	8	2	8	2	8	2	8	2		3	
10													4	4			4	4	4	4	4	4	4	4	4	4			4	4			4	4	4	4	4	4	4	4	4	4			4	4			4	4	4	4	4	4	4	4	4	4		
11													3	3	3		3	3	3	3	3	3	3	3	3	3	3		3	3	3		3	3	3	3	3	3	3	3	3	3	3		3	3	3		3	3	3	3	3	3	3	3	3	3	3	
12																	6	6	6	6	6	6	6	6	6	6	6	6					6	6	6	6	6	6	6	6	6	6	6	6					6	6	6	6	6	6	6	6	6	6	6	6
13															3		2	4	2	4	2	4	2	4	2	4	2	4	2		3		2	4	2	4	2	4	2	4	2	4	2	4	2		3		2	4	2	4	2	4	2	4	2	4	2	4
14																	4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4
15																	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	3	3	3	3	3	3	3	3	3	3	3
16																																	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18												
17																			3		2		2		2		2		2		2		2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2		3		2		2		2		2	
18																					4	4			4	4			4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4			4	4		
19																					3	3	3		3	3	3		3	3	3		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	3	3		3	3	3	
20																									6	6	6	6					6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6					6	6	6	6
21																							3		2	4	2	4	2		3		2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2		3		2	4	2	4
22																									4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4
23																									3	3	3	3	3	3	3		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	3	3	3
24																																	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				
25																											3		2		2		2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2		3	
26																													4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		
27																													3	3	3		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
28																																	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
29																															3		2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4
30																																	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
31																																	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
32																																																												
33																																			3		2		2		2		2		2		2		2		2		2		2		2		2	
34																																					4	4			4	4			4	4			4	4			4	4			4	4		
35																																					3	3	3		3	3	3		3	3	3		3	3	3		3	3	3		3	3	3	
36																																									6	6	6	6					6	6	6	6					6	6	6	6
37																																							3		2	4	2	4	2		3		2	4	2	4	2		3		2	4	2	4
38																																									4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4
39																																									3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3
40																																																	10	10	10	10	10	10	10	10				
41																																											3		2		2		2	8	2	8	2	8	2	8	2		3	
42																																													4	4			4	4	4	4	4	4	4	4	4	4		
43																																													3	3	3		3	3	3	3	3	3	3	3	3	3	3	
44																																																	6	6	6	6	6	6	6	6	6	6	6	6
45																																															3		2	4	2	4	2	4	2	4	2	4	2	4
46																																																	4	4	4	4	4	4	4	4	4	4	4	4
47																																																	3	3	3	3	3	3	3	3	3	3	3	3
48																																																												
49																																																		3		2		2		2		2		
