	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1		7		3		3		3		3		3		3		3		3		3		3		3		3		3		3		3	
2	?			8	8			6	6			6	6			6	6			6	6			6	6			6	6			6	6
3	?	?		4	8	4		4	7	4		4	7	4		4	7	4		4	7	4		4	7	4		4	7	4		4	7
4	?	?	?					11	11	11	11					11	11	11	11					11	11	11	11					11	11
5	?	?	?	?		4		4	8	4	11	4		4		4	8	4	11	4		4		4	8	4	11	4		4		4	8
6	?	?	?	?	?			8	7	8	11	7	7			8	7	8	11	7	7			8	7	8	11	7	7			8	7
7	?	?	?	?	?	?		4	6	4	11	4	7	4		4	6	4	11	4	7	4		4	6	4	11	4	7	4		4	6
8	?	?	?	?	?	?	?									14	15	14	14	14	15	14	14									14	15
9	?	?	?	?	?	?	?	?		4		4		4		4	15	4	14	4	14	4	15	4		4		4		4		4	15
10	?	?	?	?	?	?	?	?	?			8	7			6	6	14	14	7	7	11	11	6	6			8	7			6	6
11	?	?	?	?	?	?	?	?	?	?		4	6	4		4	7	4	14	4	7	4	12	4	7	4		4	7	4		4	7
12	?	?	?	?	?	?	?	?	?	?	?					11	11	11	11	11	14	12	12	11	11	11	11					11	11
13	?	?	?	?	?	?	?	?	?	?	?	?		4		4	8	4	11	4	15	4	11	4	8	4	11	4		4		4	8
14	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7	8	11	7	7	12	15	7	7	8	11	7	7			8	7
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	6	4	11	4	7	4	14	4	6	4	11	4	7	4		4	6
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?																	22	22
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4		4		4		4		4		4		4		4	13
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7			6	6			7	7			6	6
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	6	4		4	7	4		4	7	4		4	7
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					11	11	11	11					11	11
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4		4	8	4	11	4		4		4	8
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7	8	11	7	7			8	7
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	6	4	11	4	7	4		4	6
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?									14	15
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4		4		4		4	15
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7			6	6
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	6	4		4	7
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					11	11
29	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4		4	8
30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			8	7
31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	6
32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
34	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
35	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
36	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
