	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1			6			4			4			4			4			4			4			4	
2	?		10	6		6	6		6	6		6	6		6	6		6	6		6	6		6	6
3	?	?							16	15	14							12	12	12					
4	?	?	?			6			6	19	9	6			6			6	14	9	6			6	
5	?	?	?	?		6	6		6	6	14	6	6		6	6		6	6	12	6	6		6	6
6	?	?	?	?	?				10	19	16	10	12	9				11	14	14	11	12	11		
7	?	?	?	?	?	?			6	6	7	6	9	11	6			6	6	7	6	9	11	6	
8	?	?	?	?	?	?	?		6	6	14	6	6	6	6	6		6	6	12	6	6	6	6	6
9	?	?	?	?	?	?	?	?																	
10	?	?	?	?	?	?	?	?	?			6			6			5			6			6	
11	?	?	?	?	?	?	?	?	?	?		6	6		6	6		6	6		6	6		6	6
12	?	?	?	?	?	?	?	?	?	?	?							13	12	12					
13	?	?	?	?	?	?	?	?	?	?	?	?			6			6	14	9	6			6	
14	?	?	?	?	?	?	?	?	?	?	?	?	?		6	6		6	6	12	6	6		6	6
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?				10	14	14	10	11	10		
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	6	7	6	9	11	6	
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		6	6	12	6	6	6	6	6
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?								
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6			6	
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		6	6		6	6
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		6	6
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
