	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1			6			4			4			4			4			4			4			4	
2	?		7	7		6	6		6	6		6	6		6	6		6	6		6	6		6	6
3	?	?							11	11	10							10	10	9					
4	?	?	?			6			6	10	14	5			6			6	10	13	5			6	
5	?	?	?	?		5	6		6	6	14	5	5		6	6		6	6	12	5	5		6	6
6	?	?	?	?	?				11	10	14	11	12	7				11	10	11	11	12	7		
7	?	?	?	?	?	?			6	11	14	6	12	12	6			6	11	13	6	10	11	6	
8	?	?	?	?	?	?	?		5	6	10	5	5	7	6	5		5	6	10	5	5	7	6	5
9	?	?	?	?	?	?	?	?																	
10	?	?	?	?	?	?	?	?	?			6			6			5			6			6	
11	?	?	?	?	?	?	?	?	?	?		5	6		6	6		6	6		6	6		6	6
12	?	?	?	?	?	?	?	?	?	?	?							10	11	10					
13	?	?	?	?	?	?	?	?	?	?	?	?			6			6	10	13	5			6	
14	?	?	?	?	?	?	?	?	?	?	?	?	?		5	6		6	6	11	5	5		6	6
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?				11	10	12	11	10	7		
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	10	13	6	12	12	6	
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		5	6	9	5	5	7	6	5
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?								
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6			6	
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		5	6		6	6
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6	
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		5	6
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
