	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
1						5						5						5						5						5						5	
2	?			6					9			9	6			6					9			9	6			6					9			9	6
3	?	?							8	7								8		8								9	8							8	9
4	?	?	?						7	13	8							8	11					8			8						8				
5	?	?	?	?		4			4	4	7	4				4		4	4	7		4		6	4		4	4		6			6	4		4	
6	?	?	?	?	?				7	9	9	7	7					7	9	9	7						7	9	9			7				7	9
7	?	?	?	?	?	?			4	4	4	4	5	5				5	4	4	5	5		4			5	7	4	5		5	4			5	7
8	?	?	?	?	?	?	?									11		12	11	15	12	11	12									12	12	11		12	12
9	?	?	?	?	?	?	?	?																				19		19		19	20	19	19		
10	?	?	?	?	?	?	?	?	?			5						5			5			5				15	8			8	5	12	8	5	
11	?	?	?	?	?	?	?	?	?	?		4	4			4		6	4		4	4		4	4			4	13	6		10	4	4	19	6	4
12	?	?	?	?	?	?	?	?	?	?	?							10	10	10							10					25	15	13	13	10	10
13	?	?	?	?	?	?	?	?	?	?	?	?						5	8	5	5			5			5	8		5		6	5	5	5	5	8
14	?	?	?	?	?	?	?	?	?	?	?	?	?			5		5	5	8	6	5		6	5		5	5	8			23	6	6	8	6	6
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?				6	8	8	6	7	6				6	8	8	6		6	17	6	19	6	8
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?																	19	18	37	19	18	19
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4		7		4		4				4		4		5	4	4	19	6	4
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?											16	15			23	19	21	21	13	13
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			4			3				5	4	4		5	3	7	5	4	5
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					7	7		7					25	7	7	22	7	7
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?							7	7		8		10	7	7	7	7	7
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			5			5	9	5			6	5	9	5	5	9
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	4		4	4	7	4		10	4	4	7	4	4
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?									13	24	14	26	13	15
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				5		5		5	5	10	6	5	5
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			5	8			6	6	6	20	6	6
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?											
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?						7			6	
29	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4			4	4		4	4
30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?							8	8
31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			4			4	8
32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?						
33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				6	
34	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			5	5
35	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		4	4
36	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
37	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
