		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1									7								7			
2																	14	14		
3									6		5						6	6	5	
4																				
5									5				5				5		8	
6																	10	10		
7									6		5		5		5		6	6	5	
8																				
9																	7			
10																	9	8		
11																	6	6	5	
12																				
13																	5		6	
14																	6	6		
15																	6	6	5	
16																				
17																				
18																				
19																				
